1	4.65463e-21
2	1.17505e-22
3	8.61971e-22
4	-2.02312e-21
5	2.12777e-21
6	9.26101e-22
7	-1.33266e-21
8	2.33423e-21
9	-2.32632e-21
10	1.18456e-21
11	2.89091e-21
12	-5.69554e-22
13	3.05507e-21
14	-3.46318e-22
15	2.12746e-21
16	-3.89613e-21
17	-4.16206e-22
18	-5.78505e-22
19	-2.19747e-21
20	6.01407e-22
21	3.38306e-21
22	1.09087e-21
23	8.81169e-22
24	3.7366e-21
25	-3.09065e-21
26	-5.64243e-22
27	-3.33148e-21
28	6.27952e-22
29	1.23365e-21
30	-3.24609e-22
31	-9.46789e-22
32	2.78226e-21
33	-3.30807e-21
34	8.41871e-22
35	-1.45916e-22
36	-2.42623e-22
37	-1.82209e-21
38	-2.23217e-21
39	-3.90295e-22
40	-8.13172e-22
41	-1.46703e-21
42	1.25227e-21
43	-5.95619e-22
44	1.54517e-21
45	4.54928e-22
46	2.77518e-21
47	2.03921e-21
48	-2.82125e-21
49	-1.43419e-21
50	-3.03424e-21
51	-1.48731e-21
52	4.93091e-21
53	4.62537e-22
54	-5.67276e-21
55	-2.16709e-21
56	5.30172e-21
57	1.84662e-21
58	4.38984e-22
59	1.88924e-21
60	1.17259e-21
61	3.74599e-21
62	-9.23728e-23
63	1.87131e-21
64	1.06613e-21
65	1.80087e-21
66	-7.4148e-22
67	1.65007e-21
68	-7.0964e-22
69	-3.47674e-21
70	-1.10699e-21
71	-2.13588e-21
72	-5.30833e-23
73	-3.83432e-22
74	-3.02511e-21
75	-2.4992e-21
76	2.64512e-21
77	1.97425e-21
78	4.64354e-22
79	-4.77098e-21
80	-3.97704e-21
81	3.04114e-22
82	-5.32554e-22
83	3.29858e-21
84	4.42319e-21
85	6.5345e-22
86	3.12354e-21
87	-4.7062e-22
88	1.63553e-21
89	1.59274e-21
90	-2.3786e-22
91	4.5444e-21
92	2.88689e-21
93	2.45988e-21
94	-4.55161e-21
95	-8.57908e-22
96	1.34967e-21
97	-4.87251e-21
98	-1.08751e-21
99	-4.95945e-22
100	7.60544e-22
101	-2.40769e-21
102	-2.4464e-21
103	-2.89439e-21
104	-1.42134e-21
105	2.28994e-21
106	-1.28117e-21
